cod_upz;nom_upz;Women [%];Children [%];Teenagers [%];Older People [%];Victim population [%];SES 1 and 2 [% residential area];Mean slope [%];Sidewalk density [%];Cycleway density [%];Street density [%];Accidents with fatalities [1/ha];Accidents with injuries [1/ha];Pollution [PM2.5];Car share;PT share;Bike share;Walking share;Motorcycle share;Commuting Time;Access to Schools;Access to Health;Access to Administration;Access to Culture;Access to UGS;Access to PT;Access to Bike Sharing
73;GARCES NAVAS;52,71764587;9,575647616;11,3271314;16,74167097;0,690751051;17,68746172;1,564224299;8,23;0,37;12,36;0,13;5,59;14,955;12,48;41,44;5,76;26,72;7,52;57,22;82,54799589;70,9234251;0;0;87,65361233;85,97689303;0
74;ENGATIVA;51,4816425;12,23108855;13,86489215;10,91212521;1,836451351;97,49035787;1,074250556;5,66;0,21;8,09;0,13;4,11;14,955;7,92;40,00;9,17;30,00;6,25;59,32;63,51617845;52,42323769;28,47459247;0;64,34114102;58,45224187;0
75;FONTIBON;52,96968914;10,79371234;11,70354094;17,42820828;1,225073066;1,259895736;1,481607765;10,22;0,20;14,15;0,35;9,40;16,521;11,73;32,98;9,29;26,83;8,94;55,40;100;99,29877686;55,83957049;11,22607001;100;100;0
76;FONTIBON SAN PABLO;51,55800916;13,72186335;12,85962266;12,56367206;2,188327025;69,30926611;1,468956141;4,21;0,01;6,69;0,24;3,53;15,377;7,32;30,56;11,62;39,39;4,80;49,23;79,12661763;33,45718057;0;0;82,27253853;80,20206178;0
77;ZONA FRANCA;53,80419837;11,86634889;13,90747701;9,857304366;1,329177743;83,28751713;1,416926857;3,16;0,32;4,43;0,12;1,85;17,026;4,62;36,42;9,39;32,51;9,39;61,00;43,07115257;32,93258103;0,037212811;0;88,53847979;73,6910516;0
78;TINTAL NORTE;52,93924574;11,72744281;13,90685003;9,603833656;0,48905373;94,08224262;1,074931417;2,17;0,28;4,88;0,13;2,28;19,236;10,13;35,32;10,91;29,35;6,49;56,09;34,98054298;30,43756879;0;0;76,19356324;48,42210638;0
79;CALANDAIMA;52,17805568;11,41208873;14,84740211;9,437248772;1,334673217;80,99823925;1,577046012;7,56;0,78;9,80;0,10;5,24;19,496;8,21;27,86;8,06;38,86;6,74;47,90;78,43044091;70,74197905;0;0;91,02743973;89,44630185;0
80;CORABASTOS;49,60607465;14,26508859;15,17236462;9,299133721;8,423942105;96,87042772;1,447274954;9,82;0,15;15,10;0,52;15,18;19,560;7,72;21,14;11,40;47,46;5,09;42,21;100;90,03936138;0,07340366;0;100;98,65937317;0
81;GRAN BRITALIA;50,74429907;12,14696085;13,58728013;14,43216016;3,905759668;98,96764208;1,476632837;11,48;0,01;14,98;0,34;10,84;20,807;6,60;22,64;8,68;49,43;5,85;46,13;100;99,48427036;2,472279226;0;100;99,96571011;0
82;PATIO BONITO;49,86572407;13,51614214;14,68615724;10,90247939;5,922657067;100;1,425704198;13,90;0,76;18,72;0,26;11,56;20,051;4,60;20,76;12,07;52,66;3,58;42,14;98,38624793;88,99347497;0;0;99,66382517;99,50738366;0
83;LAS MARGARITAS;51,92139465;11,1472132;17,08322919;9,088352912;4,667583104;100;0,916817019;4,50;0,98;8,47;0,08;4,93;20,051;3,42;30,74;9,84;40,44;9,02;45,50;97,44307269;71,21152033;0;0;100;94,4928131;0
84;BOSA OCCIDENTAL;51,13685953;14,49201214;14,46542773;10,37243247;4,672334663;100;1,526232464;11,93;0,33;16,75;0,38;11,64;19,725;5,35;21,66;9,94;54,01;3,95;42,53;100;96,6323675;4,837745641;0;100;100;0
85;BOSA CENTRAL;51,80864658;13,42873169;13,9554892;13,77582651;3,442691398;100;1,330500248;8,31;0,30;13,64;0,28;9,63;20,303;6,01;27,06;10,36;42,65;6,01;46,89;98,38057245;78,20388583;42,72524659;0;99,69549049;97,88748407;0
86;EL PORVENIR;52,12996842;14,37972148;15,79251242;8,61099904;4,460273515;100;0,987349125;6,28;0,49;7,62;0,14;3,75;19,125;3,14;24,11;11,32;48,43;6,92;44,18;67,84108708;45,89179069;0;0;72,29043974;62,80326188;0
